City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mataura,-46.19,168.86,55.49,76,100,4.41,NZ,1596259398
Kiryat Gat,31.61,34.76,77.0,55,0,3.0,IL,1596259398
Albany,42.6,-73.97,72.0,64,0,3.76,US,1596259344
Turmalina,-17.29,-42.73,59.86,91,93,4.27,BR,1596259399
Karratha,-20.74,116.85,83.21,17,0,10.04,AU,1596259399
Omboué,-1.57,9.26,70.99,83,38,2.19,GA,1596259400
Dingle,11.0,122.67,80.2,83,100,3.33,PH,1596259400
Am Timan,11.03,20.28,72.93,91,61,4.81,TD,1596259400
Chibuto,-24.69,33.53,56.61,91,0,1.28,MZ,1596259400
Palmer,42.16,-72.33,66.99,93,1,2.71,US,1596259401
Bredasdorp,-34.53,20.04,46.4,93,0,3.36,ZA,1596259401
New Norfolk,-42.78,147.06,64.0,66,41,4.0,AU,1596259401
Butaritari,3.07,172.79,83.48,71,71,7.74,KI,1596259401
Martapura,-3.42,114.85,87.8,62,40,5.82,ID,1596259402
San Patricio,19.22,-104.7,80.35,78,100,3.69,MX,1596259402
Bluff,-46.6,168.33,52.88,86,100,3.18,NZ,1596259402
Tezu,27.92,96.17,89.46,58,98,2.64,IN,1596259144
Arraial do Cabo,-22.97,-42.03,67.14,80,51,13.35,BR,1596259403
Atar,20.52,-13.05,87.76,49,5,3.87,MR,1596259403
Porto Velho,-8.76,-63.9,73.4,83,95,3.36,BR,1596259403
Ushuaia,-54.8,-68.3,41.0,83,75,12.75,AR,1596258771
Liverpool,53.41,-2.98,62.01,82,40,4.7,GB,1596259266
Torbay,47.67,-52.73,60.01,100,90,3.36,CA,1596259404
Yellowknife,62.46,-114.35,64.0,67,75,6.93,CA,1596259385
Koutiala,12.39,-5.46,71.08,89,100,7.43,ML,1596259404
Boa Vista,2.82,-60.67,77.0,88,75,3.36,BR,1596259405
Kudat,6.88,116.85,86.0,79,20,2.24,MY,1596259405
Labuhan,-6.88,112.21,86.79,53,42,4.7,ID,1596259405
Vaini,-21.2,-175.2,69.8,77,20,8.05,TO,1596259405
Iqaluit,63.75,-68.51,53.6,100,90,4.7,CA,1596259406
Hermanus,-34.42,19.23,46.0,97,0,4.34,ZA,1596259067
Chui,-33.7,-53.46,47.14,91,22,1.32,UY,1596259406
Ostrovnoy,68.05,39.51,53.19,83,78,14.12,RU,1596259406
Kuytun,54.34,101.5,74.95,47,7,15.19,RU,1596259407
Rikitea,-23.12,-134.97,73.56,85,100,5.03,PF,1596259065
Tuktoyaktuk,69.45,-133.04,59.0,77,20,13.87,CA,1596259407
Creston,41.06,-94.36,66.2,100,1,1.88,US,1596259407
Bull Savanna,17.89,-77.59,78.24,89,89,10.4,JM,1596259407
Puerto Ayora,-0.74,-90.35,68.0,91,69,1.01,EC,1596259408
Antsohihy,-14.88,47.99,78.31,50,0,9.69,MG,1596259408
Atuona,-9.8,-139.03,78.8,75,20,19.82,PF,1596259408
Muravlenko,63.79,74.52,63.28,67,95,15.14,RU,1596259408
Carnarvon,-24.87,113.63,68.0,64,6,14.99,AU,1596259067
Olot,42.18,2.49,71.01,77,0,4.0,ES,1596259409
Mandalī,33.75,45.55,100.94,9,0,6.15,IQ,1596259409
Port Elizabeth,-33.92,25.57,44.6,93,0,3.36,ZA,1596259409
Kapaa,22.08,-159.32,77.0,83,90,13.87,US,1596259410
Upernavik,72.79,-56.15,41.59,69,0,12.93,GL,1596259410
Kushima,31.46,131.23,87.8,79,75,11.41,JP,1596259410
Heihe,50.24,127.49,73.4,83,75,9.35,CN,1596259410
Ballina,-28.87,153.57,66.2,72,35,12.75,AU,1596259410
Saposoa,-6.93,-76.77,68.49,90,11,2.1,PE,1596259411
Portland,45.52,-122.68,73.0,64,75,5.82,US,1596258859
Avarua,-21.21,-159.78,66.2,82,30,1.12,CK,1596259411
Kharhiāl,20.28,82.77,91.35,58,100,2.04,IN,1596259146
Ribeira Grande,38.52,-28.7,70.0,63,21,2.55,PT,1596259411
Busselton,-33.65,115.33,62.01,72,93,5.01,AU,1596259412
Lebu,-37.62,-73.65,50.56,81,100,14.36,CL,1596259412
Wau,7.7,28.0,71.29,92,99,3.15,SS,1596259412
Chokurdakh,70.63,147.92,54.95,61,94,0.83,RU,1596259412
Rio Claro,-22.41,-47.56,59.18,86,44,4.99,BR,1596259413
Barrow,71.29,-156.79,35.6,80,75,5.82,US,1596259260
Tura,25.52,90.22,86.29,75,74,3.47,IN,1596259413
North Bend,43.41,-124.22,60.01,100,1,4.7,US,1596259349
São Filipe,14.9,-24.5,75.22,82,83,7.81,CV,1596259413
Umluj,25.02,37.27,88.68,68,39,14.0,SA,1596259414
Padang,-0.95,100.35,83.43,69,87,5.1,ID,1596259414
Lompoc,34.64,-120.46,59.0,87,90,6.93,US,1596259414
Cape Town,-33.93,18.42,46.4,100,0,2.24,ZA,1596259370
Harrisburg,40.27,-76.88,73.4,88,1,2.57,US,1596259188
Hilo,19.73,-155.09,73.4,83,90,9.17,US,1596259209
Kruisfontein,-34.0,24.73,46.87,86,0,3.6,ZA,1596259415
Champerico,14.3,-91.92,82.31,78,48,4.54,GT,1596259415
Ayan,56.45,138.17,54.99,88,100,5.14,RU,1596259415
Jamestown,42.1,-79.24,68.0,77,1,5.82,US,1596259416
Souillac,-20.52,57.52,73.4,73,75,10.29,MU,1596259416
Lakeland Highlands,27.96,-81.95,82.0,78,5,2.8,US,1596259416
Vengerovo,55.68,76.75,69.48,74,89,11.45,RU,1596259416
Taltal,-25.4,-70.48,56.5,69,0,1.81,CL,1596259417
Punta Arenas,-53.15,-70.92,37.4,86,98,11.41,CL,1596259417
Nakapiripirit,1.92,34.78,67.82,76,100,1.43,UG,1596259417
Grindavik,63.84,-22.43,50.0,100,90,11.41,IS,1596259417
Dikson,73.51,80.55,53.49,79,93,8.08,RU,1596259417
Talnakh,69.49,88.4,62.6,72,75,20.13,RU,1596259418
Saint George,37.1,-113.58,91.99,16,1,5.82,US,1596259418
Saint Paul Harbor,57.79,-152.41,55.4,93,75,3.36,US,1596259418
Pevek,69.7,170.31,36.86,90,96,3.69,RU,1596259418
Coquimbo,-29.95,-71.34,50.0,87,0,4.7,CL,1596259419
San Cristobal,7.77,-72.22,66.51,91,94,3.4,VE,1596259419
Longyearbyen,78.22,15.64,44.6,93,90,2.24,SJ,1596259292
Clyde River,70.47,-68.59,42.8,100,90,4.7,CA,1596259419
Yen Bai,21.7,104.87,87.66,74,61,2.93,VN,1596259132
Lokoja,7.8,6.74,72.09,95,92,2.33,NG,1596259420
Shingū,33.73,135.98,86.0,66,75,12.75,JP,1596259420
Görele,41.03,39.0,77.0,73,75,4.7,TR,1596259420
Saint Anthony,45.02,-93.22,71.01,68,1,5.48,US,1596259420
Qaanaaq,77.48,-69.36,34.09,85,1,0.78,GL,1596259420
La Ronge,55.1,-105.28,59.0,82,20,4.32,CA,1596259421
Juneau,58.3,-134.42,68.0,60,75,4.7,US,1596259288
Lishui,28.46,119.91,93.13,52,99,5.68,CN,1596259421
Telêmaco Borba,-24.32,-50.62,51.46,96,0,1.92,BR,1596259138
George Town,5.41,100.34,89.6,52,20,6.93,MY,1596259180
Mutoko,-17.4,32.23,43.74,78,0,3.65,ZW,1596259422
Grajaú,-5.82,-46.14,70.97,48,0,4.94,BR,1596259422
Lubango,-14.92,13.49,51.12,47,0,7.4,AO,1596259143
Kidal,18.44,1.41,86.47,54,0,18.48,ML,1596259423
Grootfontein,-19.57,18.12,41.76,62,0,6.58,NA,1596259423
Batagay-Alyta,67.8,130.41,69.3,30,13,5.68,RU,1596259423
Parkes,-33.13,148.18,61.0,51,0,4.16,AU,1596259423
Port Hedland,-20.32,118.57,87.8,9,0,11.41,AU,1596259424
Bengkulu,-3.8,102.27,83.8,60,100,9.01,ID,1596259424
Deputatsky,69.3,139.9,65.03,42,51,4.36,RU,1596259424
Zhezkazgan,47.8,67.71,86.0,22,45,15.66,KZ,1596259424
Provideniya,64.38,-173.3,51.67,63,11,1.86,RU,1596259424
Fortuna,40.6,-124.16,57.0,92,35,4.16,US,1596259425
Moss Vale,-34.55,150.38,69.01,37,48,8.05,AU,1596259359
Hohhot,40.81,111.65,60.8,93,40,6.71,CN,1596259425
Port Alfred,-33.59,26.89,55.26,76,0,5.21,ZA,1596259425
Huaidian,33.43,115.03,91.83,66,22,10.49,CN,1596259425
Beringovskiy,63.05,179.32,51.39,82,98,9.24,RU,1596259426
Dunedin,-45.87,170.5,51.01,84,100,5.01,NZ,1596259426
Altay,47.87,88.12,74.64,24,0,6.2,CN,1596259426
East London,-33.02,27.91,50.0,76,0,8.05,ZA,1596259426
Dunmore East,52.15,-6.99,57.0,89,74,3.0,IE,1596259427
Calatrava,10.6,123.48,84.2,79,75,4.7,PH,1596259427
Chapais,49.78,-74.85,60.8,100,1,3.15,CA,1596259427
Esperance,-33.87,121.9,59.0,62,90,5.32,AU,1596259427
Porto-Novo,6.5,2.6,77.0,88,40,6.93,BJ,1596259427
Suoyarvi,62.08,32.35,54.77,74,14,8.19,RU,1596259428
Port Moresby,-9.44,147.18,82.4,61,75,17.22,PG,1596259428
Saskylakh,71.92,114.08,72.97,37,9,5.21,RU,1596259428
Yinchuan,38.47,106.27,96.4,18,32,3.85,CN,1596259428
Diego de Almagro,-26.37,-70.05,49.91,51,0,0.67,CL,1596259428
Saint-Philippe,-21.36,55.77,72.0,88,75,16.11,RE,1596259429
Hobart,-42.88,147.33,64.0,48,40,16.11,AU,1596259232
Biak,-0.91,122.88,80.73,77,65,6.78,ID,1596259429
Mossamedes,-15.2,12.15,64.78,78,0,2.51,AO,1596259429
Santa Maria da Vitória,-13.39,-44.19,66.51,55,48,7.4,BR,1596259429
La Trinidad,16.45,120.59,69.78,93,100,3.42,PH,1596259430
Novaya Igirma,57.13,103.91,61.74,91,100,9.84,RU,1596259430
Klos,41.51,20.09,75.2,83,0,4.7,AL,1596259430
Honiara,-9.43,159.95,78.8,100,90,4.7,SB,1596259430
Golspie,57.97,-3.98,57.0,86,85,1.01,GB,1596259430
Port Said,31.26,32.28,78.8,88,40,14.99,EG,1596259431
Mompós,9.24,-74.43,77.81,91,60,3.33,CO,1596259362
Tautira,-17.73,-149.15,78.8,74,20,3.36,PF,1596259431
Vardø,70.37,31.11,50.29,90,100,13.96,NO,1596259431
Saint-Augustin,51.23,-58.65,55.33,90,100,12.62,CA,1596259431
Fort Myers Beach,26.45,-81.95,82.0,83,1,5.82,US,1596259432
Naliya,23.27,68.83,89.49,66,74,8.46,IN,1596259432
Mahébourg,-20.41,57.7,73.4,73,75,10.29,MU,1596259432
Gobabis,-22.45,18.97,44.6,42,0,4.7,NA,1596259432
Pauini,-7.71,-66.98,70.9,61,11,1.9,BR,1596259432
Khatanga,71.97,102.5,76.01,40,84,14.41,RU,1596259433
Wuchang,44.91,127.15,82.35,78,95,12.08,CN,1596259433
Sitka,57.05,-135.33,68.0,64,75,8.05,US,1596259433
Bagan,54.1,77.66,71.8,57,35,3.18,RU,1596259433
La Maná,-0.93,-79.22,46.0,94,35,1.57,EC,1596259433
Corleone,37.81,13.3,84.99,28,0,2.35,IT,1596259434
Lavrentiya,65.58,-171.0,47.77,71,27,15.66,RU,1596259434
Ereymentau,51.62,73.1,78.15,46,0,1.14,KZ,1596259434
Bethel,41.37,-73.41,68.0,93,1,4.7,US,1596259434
Avera,33.19,-82.53,78.8,88,1,4.7,US,1596259434
Amahai,-3.33,128.92,82.0,95,98,1.01,ID,1596259435
Rehoboth,-23.32,17.08,41.32,63,0,5.7,NA,1596259435
Tommot,58.96,126.29,72.32,52,77,9.64,RU,1596259435
Lüderitz,-26.65,15.16,78.8,14,0,18.34,NA,1596259435
Katsuura,35.13,140.3,88.0,74,75,17.22,JP,1596259435
Krasnystaw,50.98,23.17,60.01,93,75,9.17,PL,1596259436
Mariehamn,60.1,19.93,59.0,93,0,4.7,AX,1596259436
Tasiilaq,65.61,-37.64,41.0,75,1,5.82,GL,1596259436
Shimoda,34.67,138.95,84.2,70,20,11.41,JP,1596259436
Thompson,55.74,-97.86,55.4,100,40,3.36,CA,1596259437
Severo-Kuril'sk,50.68,156.12,55.04,82,77,13.47,RU,1596259437
Agras,40.55,-8.54,66.99,1,2,1.14,PT,1596259437
Ghugus,19.93,79.13,92.91,54,54,6.4,IN,1596259437
Castro,-24.79,-50.01,48.94,97,43,5.95,BR,1596259438
Homer,59.64,-151.55,57.2,82,90,5.82,US,1596259438
Cabo San Lucas,22.89,-109.91,82.99,64,8,3.0,MX,1596259438
Caucasia,7.99,-75.19,75.85,96,100,1.7,CO,1596259438
Carndonagh,55.25,-7.27,55.4,93,20,6.93,IE,1596259438
Tabou,4.42,-7.35,74.82,86,100,9.95,CI,1596259439
Maragogi,-9.01,-35.22,74.17,86,45,11.1,BR,1596259217
